#{"t_start": 1767717267.1060405, "env_id": "None"}
r,l,t
-101.182655,46,2.067442
-18.574179,67,2.722631
-23.416632,70,2.81856
-75.063385,95,3.584837
102.290405,98,3.680235
-88.75349,38,3.892585
-77.16647,106,3.92698
-78.23384,106,3.92698
-76.67599,107,3.957033
-121.27523,65,4.077911
-144.97072,120,4.344643
-58.393604,122,4.402599
-33.7449,130,4.639755
-45.63189,32,4.897302
-78.97715,37,5.074741
-122.521774,27,5.264028
-137.6583,155,5.445433
-162.79097,49,5.477872
-44.93195,67,5.993511
-104.03662,46,6.743605
-216.46077,106,6.938136
-56.751446,29,6.938136
-46.96389,63,6.938136
-122.89193,117,7.384708
-227.3379,94,7.676673
-157.01306,169,8.168291
-59.03663,63,8.990154
-25.49074,111,9.057256
-169.3009,147,9.091795
-1.0911151,69,9.186567
-119.17339,49,9.281801
-166.40147,62,9.4037
-93.44872,87,9.739794
-372.14172,186,10.022247
-94.47142,173,10.638477
-81.43764,50,10.992765
-105.276,172,11.024935
-95.93858,65,11.250867
-116.36861,97,12.396572
-212.48276,108,12.528707
20.123234,62,12.65889
-191.19922,113,12.726872
-109.44381,55,12.790258
-127.889915,111,13.33164
-113.43243,121,13.9441
19.677563,180,14.772731
-116.60312,65,14.871873
-23.315243,79,15.188606
-194.25111,136,15.40875
-208.15202,121,16.262127
-262.24265,297,16.294639
-131.54938,74,16.294639
-74.222855,122,16.606603
-29.428684,132,16.728835
-47.095417,78,17.225415
-89.15449,78,17.322322
-141.52689,84,18.902734
-182.71947,243,18.994681
-0.5583647,120,19.18541
-61.180347,97,19.343459
-709.32294,354,19.473029
-157.86969,137,19.507862
-123.22965,118,20.015738
-85.13151,45,20.633957
-144.6178,114,20.862307
-111.855774,35,21.16016
-33.508972,142,21.25888
-382.67105,255,21.444575
-184.25923,107,22.463561
-216.19456,91,22.463561
-128.68108,161,22.492706
-44.250973,113,22.559693
-51.79924,91,24.166074
-140.80885,245,24.532993
-168.04068,159,24.566707
-129.02109,111,24.933398
-186.43855,108,25.025662
-91.03817,79,25.090719
-273.00082,178,25.33003
-52.203876,86,25.331641
-100.601654,36,25.36012
-178.45312,164,26.266387
-137.86485,59,27.278702
-134.62921,70,27.640827
-192.91792,156,27.672568
-47.615387,99,27.796736
-149.78973,92,28.12874
-109.893684,57,28.159703
-187.5295,124,29.111915
-83.77747,41,29.15111
-80.365005,85,30.751736
-313.40915,161,31.052718
-132.60608,135,32.163491
-147.36719,231,32.625618
-139.60529,105,33.047697
-102.52246,138,33.144531
-107.30741,83,33.674826
-684.6534,381,33.674826
-109.2766,24,33.872053
-423.51328,329,33.906928
62.04063,133,33.969957
-363.18607,262,34.032314
-180.37556,171,34.222494
-199.35233,199,34.635536
-93.595245,56,34.984588
-83.20313,89,35.107629
-65.81452,47,35.205513
-106.05764,43,35.275821
-108.59515,44,35.343692
-131.8329,131,35.440051
-92.94612,57,35.541926
-72.64188,46,35.735265
-73.20344,100,35.937301
-47.242447,43,36.073865
-112.61986,64,36.14868
-29.599373,50,36.970056
-6.713276,60,38.230741
-223.17004,92,38.266142
-85.43404,100,38.441069
-46.130062,97,38.682835
-24.558489,96,38.850259
-58.724525,65,39.204721
-213.94861,115,39.370111
-326.81244,170,39.687422
-153.22127,137,39.846434
-55.83376,60,40.239993
-95.58653,31,40.368078
-200.89058,141,40.700988
29.580914,79,40.833548
-113.6145,42,41.218629
-49.11148,159,41.417889
-137.06572,86,41.646711
-191.36276,50,42.007402
-202.93343,93,42.238474
-89.32735,33,42.50596
-126.79084,71,42.572023
-67.94967,78,43.292294
-46.458443,34,43.39097
-146.06844,69,43.521981
-254.25783,171,44.095761
-76.508896,74,44.13234
-141.10637,104,44.295737
-307.57974,263,44.556926
-7.115261,65,44.746855
-99.67019,68,44.783671
-29.424784,164,45.107631
-160.5216,60,45.500317
-35.377438,48,45.872007
-185.41083,59,46.03749
-70.42866,41,46.107845
-58.408096,122,47.340994
-24.947592,126,47.574234
-62.234234,113,47.856389
-301.16302,179,47.952613
-289.8543,281,47.952613
-48.925087,85,48.295464
-58.06661,67,48.295464
-120.47928,79,48.451822
-236.32304,125,48.654604
-73.1385,24,48.718432
-275.42035,132,49.132258
-197.6768,47,49.415898
-87.620964,45,49.458264
-110.74817,49,50.30783
-108.5858,105,51.046885
-128.90736,54,51.22015
-239.48274,119,51.293279
-63.10093,94,51.458298
-308.0229,192,51.490915
-154.13847,85,51.997406
-75.46062,53,52.0975
-158.43013,110,52.170236
-113.10839,192,52.444836
-168.43391,91,52.518627
-48.86139,49,52.938824
-101.883156,54,53.040248
-166.01834,60,53.076688
-167.93011,142,53.076688
-211.82947,158,54.02286
-20.61594,29,54.02286
-120.74868,68,54.25202
-69.78505,54,54.291053
-173.92776,113,55.19842
-157.30576,124,55.615707
6.0683646,80,55.683502
-51.13559,47,55.853476
-90.50014,121,56.11785
-78.475426,109,56.552461
-40.49102,113,56.830033
-201.06866,146,57.033409
-141.91104,44,57.161776
19.164139,89,57.232951
-180.63672,31,58.06793
-200.08014,124,58.170217
-150.4437,125,58.202898
-291.23965,174,58.236804
-57.69343,33,58.330186
-302.3516,106,58.754631
-80.21135,94,58.754631
-88.23438,137,60.445409
-86.784904,86,61.060787
-8.551356,83,61.090812
-161.1091,72,61.158663
-112.49543,83,61.512586
-132.736,191,62.436117
-28.763529,64,62.501802
-189.23456,177,62.971968
-284.49786,158,63.238642
-68.121414,68,63.238642
-114.51905,91,64.062857
-171.06305,107,64.514858
-171.18707,219,65.275736
-121.63611,69,65.433775
-11.683274,77,65.433775
-144.86581,48,66.056756
-98.21876,66,66.188895
-261.85208,93,66.228879
-85.69739,126,66.487616
-100.036156,50,67.067595
-374.66806,326,67.194718
-72.51521,46,67.704588
-1.7304635,46,67.972041
-450.25165,343,68.009972
-83.03247,59,75.003502
-201.86778,86,75.12965
