#{"t_start": 1767722046.9702315, "env_id": "None"}
r,l,t
58.235542,57,3.40148
566.6683,339,16.572237
690.51416,405,19.531568
581.7757,432,20.756535
803.28015,456,21.836356
956.0595,557,26.584475
1701.343,900,43.194666
1889.6461,900,43.194666
1785.8346,900,43.194666
1945.7703,900,43.194666
1738.0634,900,43.194666
1927.9531,900,43.194666
587.26935,600,44.966345
1706.9343,900,45.81156
202.56688,116,48.622455
224.58604,168,51.056668
431.27628,260,55.506494
170.6229,122,61.564352
1577.9199,900,62.654493
554.5962,374,63.026474
1565.0388,900,63.944368
1890.5728,900,65.126531
110.339745,104,67.69655
73.68238,70,68.507539
152.36903,129,69.274373
1830.3328,900,70.00447
1120.9128,608,72.421574
326.72433,200,73.556452
198.4398,256,73.841418
169.15459,108,74.412263
639.40094,505,75.564664
299.06616,267,82.8445
713.0952,371,86.346473
1876.0024,900,86.496392
2029.5529,900,86.496392
-28.061878,111,88.236311
1603.94,900,89.326372
680.2889,362,91.151289
531.8035,345,91.201637
1518.1318,900,92.22466
284.87048,234,97.988127
865.3245,504,107.389345
1035.0569,684,108.556414
132.37569,306,115.305132
842.4341,441,117.580564
865.998,422,118.873429
405.12048,229,121.386322
979.90466,464,122.201149
889.9286,486,126.277038
1687.0448,900,128.226279
197.15192,129,130.146399
1988.7957,900,130.360371
250.83678,182,130.440633
-32.1985,61,133.574354
503.8947,302,133.916987
65.69061,126,135.621508
904.35406,514,136.61136
440.6661,237,140.461433
1190.6328,705,140.671287
306.5626,200,141.95832
273.34613,155,142.638442
23.722889,45,143.432931
1774.1387,900,145.180327
508.15704,259,148.399241
422.9072,247,149.531477
197.78622,136,149.964085
573.5444,367,151.179044
397.09406,214,152.986915
61.185772,91,157.760501
225.16586,148,158.251228
1725.9575,900,161.436213
24.093231,59,164.218811
728.5768,545,166.610756
1946.6929,900,169.421045
535.00616,352,169.482062
866.82336,557,173.428963
560.6272,282,173.990709
1945.6991,900,175.083043
96.57732,299,175.561214
1085.546,525,179.451867
1304.4026,900,198.125413
773.8728,459,200.207718
1973.1162,900,200.424397
1076.8071,550,206.474116
1858.2041,900,207.542648
1749.0989,900,224.198723
1856.0886,900,226.329484
1701.4698,900,232.687844
809.5438,413,243.424583
1669.3203,900,243.585474
1906.6393,900,244.760756
1451.1067,900,245.258663
1840.0502,900,249.553056
7.325858,49,253.586943
263.9529,176,258.831983
125.049736,191,260.612744
1892.5891,900,271.679876
375.0302,245,272.717351
1691.1906,900,273.847632
1813.352,900,274.077947
1075.0172,586,276.954391
432.59393,275,279.33796
142.7386,124,281.591278
1967.6072,900,281.591278
693.99786,544,284.572701
854.94696,569,285.947996
